abicher|a.ʃe
gneissique|ɡnɛs.si.sik
gnoll|
gobeuse|ɡɔ.bøz
gogole|ɡɔɡ.ɡɔl
gomme-gutte|ɡɔm.tə
gonococcie|ɡɔ.si
gonococcique|ɡɔ.kɔk.sik
gonoréaction|ɡɔ.za.sjɔ̃
goulache|ɡu.aʃ
gourmade|ɡuʁ.meɪd
grafcet|ɡʁa.sɛt
gramicidine|ɡʁa.mi.din
gramscisme|ɡʁa.fa.ʃism
gram|ɡʁa.
grandiosement|ɡʁɑ̃.djoz.mɑ̃
grands-mamans|ɡʁɑ̃.mɑ̃
grapheuse|ɡʁaf.ʃøz
grassmannienne|ɡʁa.njɛn
gravatière|ɡʁa.tjɛʁ
grenadage|ɡʁə.na.a.daʒ
grenouillesque|ɡʁə.nuj.lɛsk
griffade|ɡʁi.fad
gringolée|ɡʁɛ̃.le
griséofulvine|ɡʁi.vin
grièche|ɡʁi.jɛʃ
gros-boutiste|ɡʁo.tist
groupoïde|ɡʁu.id
grugeuse|ɡʁy.ʒøz
grumier|ɡʁym.mje
gr|te
gréeuse|ɡʁe.øz
gréver|ɡʁe.vɛʁ
guaïfénésine|ɡwa.saɪn
guernouille|nuj
guerroyeuse|ɡɛ.jøz
guignarde|ɡi.ɲaʁd
guilleri|ɡij.ʁi
guillocheuse|ɡi.jɔ.ʃøz
gymnarque|ʒim.naʁk
gynerium|ʒi.ne.ʁjɔm
gynogenèse|ʒi.nɔ.ʒə.nɛz
gyrencéphale|ʒi.ʁɔ.se.fal
gyrobicoupole|ʒi.ʁɔ.ku.pɔl
gyrus|ʒi.ʁɔ.ʁys
génothérapie|ʒe.ne.te.ʁa.pi
généthliaque|ʒe.ne.ljak
génétisme|ʒe.ne.tism
génétiste|ʒe.ne.tist
géostrophique|ʒe.ɔ.ɡʁa.fik
géosynclinal|ʒe.ɔ.nal
géraniée|ʒe.ʁa.nje
gérontoxon|ʒe.ʁɔ̃.tɔ.sɔ̃
gîtage|ʒi.taʒ
habeas|ha.ɑs
hab|ha.av
hachischine|a.ʃiʃ.ʃin
hachischée|a.ʃi.ʃe
halioculture|a.kyl.tyʁ
haliotis|a.ti
halkiner|a.ne
hallucinose|a.noz
hand-ball|ɑ̃.bol
happement|ap.mɑ̃
harpe-luth|aʁp.lyt
haschichine|a.ʃiʃ.ʃin
haschichisme|a.ʃiʃ.ʃism
haschichée|a.ʃe
haschischine|a.ʃiʃ.ʃin
haschischisme|a.ʃiʃ.ʃism
haschischée|a.ʃiʃ.ʃe
hasmonéenne|ne.ɛn
hautes-contre|ot.kɔ̃tʁ
haïsseuse|a.søz
hebdomadière|ɛb.dɔ.djɛʁ
hectopièze|ɛk.piɛz
heimatlosat|aj.mat.los.za
hemigrammus|ɛm.mys
hendiadys|ɛ̃.de.ka.
hensélienne|ljɛn
heptoxyde|ɛp.ɔk.sid
hermesse|ɛʁ.mɛs
hertzienne|ɛʁ.zjɛn
hervienne|ɛʁ.vjɛn
hexachlorophène|ɛɡ.za.klo.ʁo.fi.lɔ.fen
hexacorde|ɛɡ.za.kɔʁd
hexanoïque|ɛɡ.zan.ik
hexitol|ɛʁ.tɔl
hilotisme|i.tism
hipparion|i.a.ʁjɔ̃
hippophaé|i.pɔ.
hobbesienne|bi.sjɛn
hodographe|od.ʒa.ɡʁaf
hojjat-al-islam|is.lam
hoki|o.ki
holomorphe|ɔ.lɔ.mɔʁf
holomorphie|ɔ.lɔ.ɡʁa.fi
holonome|ɔ.lɔ.nɔm
holostéen|ɔ.lɔ.ɑ̃
hominem|ɔ.mi.nɛm
homogénéisante|ɔ.mɔ.ʒe.zɑ̃t
homéothermie|o.me.tɛʁ.mi
hongreuse|ɔ̃ɡʁ.ɡʁøz
hongroyeuse|ɔ̃.ɡʁwa.jøz
horocycle|ɔ.sikl
horocyclique|ɔ.si.klik
horosphère|ɔ.sfɛʁ
hors-concours|ɔʁ.kɔ̃.kuʁ
hot-line|ɔt.withoutA-Z
houillification|uj.fi.ka.sjɔ̃
houspilleuse|us.pi.jøz
huitièmement|ɥi.tjɛm.mɑ̃
humagne|y.n
humidistance|ɔm.dis.tɑ̃s
hummock|ɔm.
husserlienne|y.ljɛn
hyaloclastite|ja.tit
hyaluronidase|ja.daz
hydranthe|i.dʁɔ.ljɑ̃t
hydrazone|i.dʁɔ.zon
hydrogénosulfate|i.dʁɔ.ʒe.syl.fat
hydrogénosulfite|i.dʁɔ.ʒe.syl.fit
hydrogénosulfure|i.dʁɔ.ʒe.syl.fyʁ
hydropathe|i.dʁɔ.pat
hydropulseur|i.dʁɔ.pʁɔ.pyl.sœʁ
hydroxylase|i.dʁɔ.si.laz
hydroxylation|i.dʁɔ.za.sjɔ̃
hydrurée|i.dʁɔ.y.ʁe
hygrostat|i.ɡʁɔ.ta
hylobatidé|i.de
hyperaldostéronisme|i.pɛ.nism
hypercholestérolémique|i.pɛʁ.mik
hypergame|i.pɛʁ.ɡam
hypergonar|i.pɛʁ.naʁ
hypernovæ|i.pɛʁ.nɔ.ve
hyperostose|i.pɛʁ.toz
hyperoxie|i.pɛʁ.si
hyperphalangie|hajp.
hyperprolactinémie|i.pɛʁ.mi
hyperémèse|i.pɛʁ.mɛz
hypodermose|i.pɔ.moz
hypogame|i.pɔ.ɡam
hypogonadisme|i.pɔ.dism
hypopituitarisme|i.pɔ.ta.ʁism
hypoprotéinémie|i.pɔ.mi
hélicase|e.li.kɑz
héloderme|e.dɛʁm
hémangiome|e.ma.ɑ̃.ʒjɔm
hémarthrose|e.ma.aʁ.tʁoz
hémiperméable|e.mi.pɛʁ.me.abl
hémosidérine|e.mɔ.e.ʁin
hémérobe|e.me.ʁɔb
héparane|e.pa.ʁan
hépiale|e.pa.pjal
hétéroprothallie|e.te.ʁo.li
ice-field|i.
ice-shelf|i.ɡɔlf
icositétraèdre|i.te.tʁa.ɛdʁ
idempotence|i.pɔ.tɑ̃s
identifieur|i.tœʁ
identitarisme|i.dɑ̃.ti.ta.ʁism
idiotype|i.djɔ.tip
ijtihad|ad
ilotisme|i.tism
imagoïque|i.ma.ɡo.ik
immortellement|i.mɔʁ.tɛl.mɑ̃
immunogénicité|i.my.nɔ.si.te
imperfectible|ɛ̃.pɛʁ.fɛk.tibl
imperforée|ɛ̃.pɛʁ.ɔ.ʁe
imports-exports|ɛ̃.pɔʁ.
impurement|ɛ̃.pyʁ.mɑ̃
impénitence|ɛ̃.pe.tɑ̃s
in.ɔk.ta.vo
inappliquée|i.na.pli.ke
inappréciée|i.na.sje
inassujettie|i.na.ti
inattaquée|i.na.ke
inciseur|ɛ̃.siz.zœʁ
incivilement|ɛ̃.si.vil.mɑ̃
incommodo|ɛ̃.kɔ.mɔ.dɔ
incoterm|ɛ̃.kɔ̃.
incrustante|ɛ̃.kʁys.tɑ̃t
incrusteuse|ɛ̃.kʁys.tøz
indianisme|ɛ̃.dja.nism
individualisable|ɛ̃.di.vi.dy.li.zabl
individualisante|ɛ̃.di.vi.dy.li.zɑ̃t
indéchiffrée|ɛ̃.de.fʁe
indéfinissablement|ɛ̃.de.fi.mɑ̃
indélicatement|ɛ̃.de.li.kat.mɑ̃
inengendrée|i.nɑ̃.dʁe
ineptement|i.nɛpt.mɑ̃
infigurabilité|ɛ̃.fi.bi.li.te
infinitum|ɛ̃.fi.ni.tɔm
infradienne|ɛ̃.fʁa.djɛ̃
iniquement|i.nik.mɑ̃
initio|in.sjo
injaculation|ɛ̃.za.sjɔ̃
insituable|ɛ̃.si.ty.abl
insulinase|ɛ̃.sy.li.naz
insulinome|ɛ̃.sy.li.nɔm
insurgente|ɛ̃.syʁ.yʁ.ʒɑ̃t
intellectisme|ɛ̃.te.lɛkt.tism
intellectualité|ɛ̃.te.lɛk.li.te
intemporellement|ɛ̃.tɑ̃.pɔ.ʁɛl.mɑ̃
interféron|ɛ̃.tɛʁ.fe.ʁɔ̃
interleukine|ɛ̃.tɛʁ.kin
interministérialité|ɛ̃.tɛʁ.mi.bi.li.te
intertrigo|ɛ̃.tɛʁ.ɡo
intraépithéliale|ɛ̃.tʁa.te
introublée|ɛ̃.tʁo.ble
intuitu|in.ty
invalidement|ɛ̃.va.lid.mɑ̃
inventoriage|ɛ̃.vɑ̃.ʁjaʒ
inversible|ɛ̃.vɛʁ.sibl
ipso|ip.pso
ipéca|i.pe.ka
iridocyclite|i.ʁi.klit
irish-terrier|i.ʁis.tɛ.ʁje
irrachetable|i.ʁa.aʃ.tabl
irrassasiée|i.ʁa.zje
irrotationnelle|sjɔ.nɛl
irréflexion|i.ʁe.flek.sjɔ̃
irréfutée|i.ʁe.fy.fy.te
irréligieusement|i.ʁe.li.ʒjøz.mɑ̃
irrévélée|i.ʁe.ve.le
irrévérente|i.ʁe.ve.ʁɑ̃t
isenthalpe|i.zɑ̃.alp
isocortex|i.zɔ.kɔʁ.tɛks
isogame|i.zo.ɡam
isolectotype|i.zɔ.tip
isomonodromique|i.zɔ.mik
isoniazide|i.zo.id
isopropanol|i.zo.ta.nɔl
isospectralité|i.zo.bi.li.te
isosporie|i.zo.ʁi
isosyntype|i.zo.tip
isozyme|i.zo.zim
italianiste|i.ta.lja.nist
ivressomètre|i.mɛtʁ
jacée|ʒa.se
jalap|ʒa.klap
jalonnement|ʒa.lɔ.mɑ̃
japonologie|ʒa.pɔ̃.lɔ.ʒi
jargonneuse|ʒaʁ.ɡɔ.nøz
jasmonate|ʒas.nat
jaunir|ʒɔ.y.niʁ
javer|ʒa.vɛʁ
jennérienne|ʒɛ.ne.ʁjɛn
jeun|ʒø.œ̃
jihadisme|ʒi.ad.dism
jointeuse|ʒwɛ̃.tøz
jointivement|ʒwɛ̃.tiv.tiv.mɑ̃
joncher|ʒɔ̃.ʃe
joncteur|ʒɔ̃k.sjɔ̃.tœʁ
jugeuse|ʒyʒ.ʒøz
juil|ʒɥi.il
jurement|ʒy.mɑ̃
jutage|ʒy.taʒ
ka.tʁə.vɛ̃.ɔ̃.zjɛm
ka.tʁə.vɛ̃.ɔ̃z
kafkaïenne|kɑ.jɛn
kala-azar|ka.zaʁ
kaotiser|ka.li.ze
kbit|bit
kentrophylle|kɛn.ʁɔ.fil
khalifale|ka.fal
khédiviale|ke.vjal
kibboutznik|ki.buts.nik
kimbanguisme|kim.lɛ̃.ɡwism
kissel|ki.sɛl
kleinienne|klɛp.njɛn
kn|sjɔ̃
kpc|pus
kriegspiel|kʁik.sjɛl
krishnaïsme|kʁa.ism
krump|lɔ̃p
kth|kon.traw.aʃ
kyriologique|ki.lɔ.ʒik
kénose|ke.noz
kératane|ke.ʁa.tan
kératocône|ke.ʁa.kon
kétoconazole|ke.a.zɔl
kɔ̃.tʁə.bʁa.ke
kɛl.kə.zyn
kɛl.kə.zœ̃
labadens|la.
labdanum|la.da.nɔm
labium|la.bjɔm
laboriste|la.bɔ.ʁist
lacanisme|la.nism
lacquemant|lak.mɑ̃
lacrima-christi|la.kʁi.sti
lactocoque|lak.kɔk
lagothrix|la.dʁi
lamaneuse|la.ma.nøz
lamarckisme|la.maʁ.kism
lambliase|lɑ̃.sə
lambourde|lɑ̃.buʁd
landammann|lɑ̃.man
landaulet|lɑ̃.do.lɛ
landgravine|lɑ̃d.ʁa.vin
landsturm|lɑ̃d.
laneret|lɑ̃.ʁɛ
langueyage|lɑ̃.jaʒ
lapidairement|la.pi.dɛʁ.mɑ̃
lastex|la.tɛks
lasting|la.tiŋ
latere|la.
laticifère|la.ti.fɛʁ
latomies|la.
lat|ɡol.a.və.ʁɛdʒ
layetière|lɛ.tjɛʁ
lazzarone|ladzi.ʁɔn
laïusseuse|la.jys.søz
lb|li.be
lectotype|lɛk.tip
lentigine|lɑ̃.ti.ʒin
lepte|lɛp.kɔ̃t
lesquerellique|le.kɛl.lik
lessivière|le.vjɛʁ
lestement|lɛst.mɑ̃
letchi|lɛt.tʃi
leucogranite|lø.kɔ.ɡʁa.nit
leucotrichie|lø.kɔ.ʃi
leucoxène|lø.kɔ.sɛn
libitum|li.bi.tɔm
licencieusement|li.sɑ̃.sjøz.mɑ̃
licitement|li.sit.mɑ̃
lignane|li.nan
lignarde|li.ɲaʁd
linalol|li.salɔl
linçoir|lɛ̃.swaʁ
litharge|li.ʃaʁʒ
lithiasique|li.zik
lithine|li.ti.tin
lithothamnium|li.to.njɔm
lm|li.
lombarthrose|lɔ̃.aʁ.tʁoz
lombostat|lɔ̃.ta
longimétrie|lɔ̃.ʒi.me.tʁi
longuéenne|lɔ̃ɡ.ɛn
longévive|lɔ̃.viv
lonotriche|lɔ̃.tʁiʃ
loranthacée|lɔ.se
ludospace|ly.pas
ludwigia|ly.dʒja
lumachellique|ly.lik
luministe|ly.mi.nist
lupercale|ly.kal
lutz|ly.buts
luxembourgiste|lyks.lɔ.ʒist
luxembourgophone|lyks.fɔn
luxuriance|lyk.va.ʁjɑ̃s
lx|li.
lychnide|lik.nid
lycra|li.kʁa
lysergide|li.ʒid
lysosomiale|lis.mjal
lécithine|le.tin
léonardesque|le.ɔ.dɛsk
lépidosirène|le.pi.si.ʁɛn
mR|ma.
ma.le.me
macassar|ma.saʁ
maceron|mak.ʁɔ̃
machiavel|ma.kja.ve.vɛl
macroscopiquement|ma.kʁo.skɔ.pik				.mɑ̃
macroscélide|mak.lid
madrinienne|ma.dʁi.kʁi.njɛn
madréporaire|ma.ʁɛʁ
maestoso|mal.zo
magadhi|ma.ɡa.di
maghzen|ma.zɛn
magnésioferrite|ma.ɲe.fɛ.ʁit
magouilleuse|ma.ɡuj.jøz
maharashtri|ma.a.ʁa.tʁi
mailing-list|maj.list
maillure|ma.jyʁ
malebranchiste|ma.plɑ̃.ʃist
malgré-nous|mal.ɡʁe.nu
malletière|ma.tjɛʁ
malmenage|mal.naʒ
maltôte|malt.kot
malvenante|mal.və.nɑ̃t
mandibulate|mɑ̃.lat
manilleuse|ma.nij.jøz
manuaire|mɑ̃.ɛʁ
manuscriptologie|ma.nys.lɔ.ʒi
maquereautage|ma.kʁo.taʒ
margaille|maʁ.ɡaj
marginalement|maʁ.ʒi.nal.mɑ̃
marmotteuse|maʁ.mɔt.tøz
maroquinière|ma.ʁɔ.kɛ̃.njɛʁ
marteleuse|maʁ.løz
maternologie|mat.lɔ.ʒi
matoufet|ma.tu.fɛ
matouner|ma.tu.ne
maugréante|mo.ɑ̃t
maurandie|mo.di
mauvéine|mo.te.in
mays|ma.pɛ.i
maïzena|ma.na
medecine-ball|me.bɑl
mefenoxam|
menthone|mɑ̃.fɔn
menuaille|mɑ̃.lə
merceriseuse|mɛʁ.sə.ʁi.zøz
metolachlore|mɛ.klɔʁ
meulage|mø.laʒ
mgr|ma.ɛʁ
mi-jambe|mi.ʒɑ̃b
microarray|mi.kʁo.
microdifférentiel|mi.kʁo.sjɛl
microfibrée|mi.kʁo.bʁe
microsomale|mi.kʁo.mal
microsomiale|mi.kʁo.mjal
millas|mi.ɑs
milliröntgen|mi.ʁœ̃nt.ɡɛn
millépore|mi.le.pɔʁ
mimesis|mim.zis
mimétiquement|mi.me.tik.mɑ̃
minibus|mi.bys
minispace|mi.pas
minnesang|mi.sɑ̃
miquelet|mi.lɛ
mirabilis|miːɐ̯.lis
miracidium|mi.djɔm
misologie|mi.zo.lɔ.ʒi
missilière|mi.ljɛʁ
mmHg|ma.
mobinaute|mɔb.not
modalisme|mɔ.da.li.a.lism
modiquement|mɔ.dik.mɑ̃
modulor|mɔ.dy.lo.lɔʁ
moksha|mɔ.ʃa
molinisme|mɔ.li.nism
molysmologie|mɔl.lɔ.ʒi
mondialement|mɔ̃.djal.mɑ̃
mondiovision|mɔ̃.dja.vi.zjɔ̃
monodromie|mɔ.tɔ.mi
monodromique|mɔ.mik
monométhylmercure|mɔ.no.me.mɛʁ.kyʁ
mononucléidique|mɔ.ny.dik
monophasique|mo.fa.zik
monophyodonte|mɔ.fi.dɔ̃t
monostiche|mɔ.tiʃ
monoxène|mɔ̃.sɛn
monsignor|mə.nɔʁ
monétairement|mɔ.ne.tɛʁ.mɑ̃
moringa|mɔ.ɡa
mornement|mɔʁn.mɑ̃
morphophonologie|mɔʁ.fɔ.lɔ.ʒi
morphophonologique|mɔʁ.fɔ.lɔ.ʒik
morphématique|mɔʁ.ma.tik
motorship|mɔ.tɔ.ʃip
mouchetage|muʃ.taʒ
moulineuse|mu.li.nøz
mouna|mu.na
moussage|mu.saʒ
moviola|mɔ.la
moyennable|mwa.nabl
mucolytique|my.kɔ.li.tik
mucoviscidosique|my.kɔ.zik
mullite|myl.ti.lit
muriate|my.ʁjat
museuse|myz.søz
mutationnisme|my.ta.sjɔ̃.sjɔ.nism
mutationniste|my.ta.sjɔ̃.sjɔ.nist
mutatis|my.ta.tis
mwa.jɛ.nɔ.ʁjɑ̃.tal
myocyte|mjɔ.sit
myofasciite|mjɔ.it
myofibrille|mjɔ.fi.bʁil
myogramme|mjɔ.ɡʁam
myologique|mjɔ.lɔ.ʒik
myomatose|mjɔ.ma.toz
myosis|mjɔ.zis
myringoplastie|mi.plas.ti
myrmidone|miʁ.me.kɔ.dɔn
myrtaie|miʁ.tɛ
mytilotoxine|mi.ti.li.tɔk.sin
myélotoxique|mje.lɔ.tɔk.sik
méandrine|me.dʁin
médailleuse|me.daj.jøz
médiopalatale|me.di.pa.la.tal
médusante|me.dy.y.zɑ̃t
mégacaryocyte|me.ɡa.sit
mégalocéphalie|me.ɡa.lo.se.fa.li
mégaloptère|me.ɡa.lo.tɛʁ
mégalérythème|me.ɡa.e.ʁi.tɛm
mégaptère|me.ɡa.aptɛʁ
mégatonnique|me.ɡa.nik
méjanage|me.naʒ
mélampyre|mel.piʁ
mélangeur-doseur|me.lɑ̃ʒ.zœʁ
mélanodermie|me.tɛʁ.mi
méligèthe|me.lit
mélioïdose|me.doz
mélongine|mel.ʒin
ménagiste|me.lɔ.ʒist
ménapienne|me.pjɛn
méphitisme|me.tism
mésadaptée|me.te
mésemploi|me.ɑ̃.plwa
mésothéliale|me.zo.te
métabotypage|me.ta.ti.paʒ
métallo|me.ta.lo
métaxiale|me.ta.ak.sjal
méthanoïque|me.ta.ik
méthaqualone|me.ta.lɔn
méthylcyclopropane|me.ti.pʁɔ.pan
méthylmercure|me.ti.mɛʁ.kyʁ
méthémoglobinémie|me.mi
métronidazole|me.tʁɔ.a.zɔl
mézail|me.aj
mɔ̃.tʁə.bʁas.lɛ
nahua|na.wa
nandrolone|nɑ̃.lɔn
nanite|na.nit
naphtol|naf.ta.tɔl
nargueuse|naʁɡ.ɡøz
nasopharynx|na.fa.ʁɛ̃ks
nauplius|nɔ.ys
naviplane|na.vi.plan
navrure|na.vʁyʁ
nec|nɔ̃.ɑ̃.ɡaʒ.mɑ̃
nervosisme|nɛʁ.zism
nescafé|nɛs.tɔ.li.te
netiquette|nɛt.kɛt
neuraminidase|nø.ʁɔ.daz
neuraminique|nø.ʁɔ.i.nik
neuroblaste|nø.ʁɔ.blast
neuroblastome|nø.ʁɔ.tɔm
neuroplégique|nø.ʁɔ.lɔ.ʒik
neurotensine|nø.ʁɔ.saɪn
neutralement|nø.tʁa.mɑ̃
neuvièmement|nœ.vjɛm.mɑ̃
nictitante|nik.tɑ̃t
nihilo|ni.i.lo
niobate|njɔ.bat
niobite|njɔ.bit
niqueuse|nik.køz
nitrifiante|ni.tʁi.ɑ̃t
nitrocellulose|ni.se.ly.lɔz
noblaillonne|nɔ.jɔn
nobscuriter|nɔ.te
noethérienne|ʁjɛn
nominalement|nɔ̃.mɑ̃
non-droit|nɔ̃.dʁwa
noncer|nɔ̃.se
noosphérique|no.sfe.ʁik
normoblaste|nɔʁ.blast
nosophobie|no.fɔ.bi
nov|bœʁ.na.ut
nucléolyse|ny.kle.liz
nummulite|ny.my.lit
nunc|ny.se
négrerie|ne.ʁi
némathelminthe|ne.ma.ɛl.mɛ̃t
nématoblaste|ne.ma.blast
nématocère|ne.ma.sɛʁ
néocomienne|ne.ɔ.mjɛn
néolamarckisme|ne.o.kism
néosynéphrine|fʁin
néphroangiosclérose|ne.skle.ʁoz
nûment|mɑ̃
nɔ.nɛɡ.zis.tɑ̃s
nɔ̃.eɡ.ze.ky.sjɔ̃
nɔ̃.ø.kli.djɛn
nɔ̃.ɑ̃.ɡa.ʒe
objecteur|ɔb.ʒɛk.tœʁ
obviation|ɔb.za.sjɔ̃
obédiencier|ɔ.be.sje
obélie|ɔ.li
octalogie|ɔk.ta.lɔ.ʒi
octanoïque|ɔ.tɑ̃.ik
octodon|ɔk.tɔ.dɔ̃
odontalgie|ɔ.dɔ̃.lɔ.ʒi
odontoblaste|ɔ.dɔ̃.tɔ.blast
ofbizextra|ɛks.tʁa
oiseaux-soleils|wa.zo.withoutA-Z
oldowayenne|jɛn
oligandrine|ɔ.li.dʁin
oligo-galacturonate|ɔ.li.ɡɔ.nat
oligodendrogliome|ɔ.li.ɡɔ.ɡli.joːm
oligothérapie|ɔ.li.ɡɔ.te.ʁa.pi
oligozoospermie|ɔ.li.ɡɔ.tɛʁ.mi
ollas-podridas|ɔ.
oléosome|ɔ.le.zɔm
oléum|ɔ.li.ɔm
ombrophile|ɔ̃.fil
omnipuissante|ɔm.ni.pɥi.sɑ̃t
omphacite|ɔ̃.fa.sit
oncogenèse|ɔ̃.kɔ.ʒə.nɛz
oolitique|o.tik
oomycète|o.mi.sɛt
opisthobranche|ɔ.pis.bʁɑ̃ʃ
opsonique|ɔp.sɔ.nik
op|ɔ.
opéras-bouffes|ɔ.pe.ʁa.ʃɛf
orchestie|ɔʁ.kɛs.ti
ordovicienne|ɔʁ.dɔ.ti.sjɛn
orientement|ɔ.ʁjɑ̃.mɑ̃
ornithischien|ɔʁ.ni.ʃjɛ̃
ornithogale|ɔʁ.ni.ɡal
orobe|ɔ.fɔb
oropharynx|ɔ.ʁɔ.fa.ʁɛ̃ks
osmotrophe|ɔs.tʁɔf
ossiculoplastie|ɔ.plas.ti
osso-buco|ɔ.ko
ostéichtyen|ɔs.jɛn
ostéocyte|ɔst.sit
ostéogénie|ɔs.ʒe.ni
ostéoplastie|ɔst.plas.ti
ostéopontine|ɔs.tin
ostéotomie|ɔst.tɔ.mi
otospongiose|ɔ.tɔ.oz
ourleuse|uʁ.løz
ourlienne|uʁ.ljɛn
outilleuse|u.ti.jøz
outrigger|u.ɡe
ouvre-gants|uvʁə.
ovariohystérectomie|ɔ.va.tɔ.mi
ovarite|ɔ.va.ʁit
ovigène|ɔ.vi.ʒɛn
oviné|ɔ.vɛ̃.li.te
ovoproduit|o.vo.pʁɔ.dɥi
oxazine|ɔk.sa.a.zin
oxycarbonée|ɔk.si.kaʁ.bɔ.ne
oxydimétrie|ɔk.si.me.tʁi
oxydoréductase|ɔk.si.dɔ.taz
oxyologie|ɔk.si.lɔ.ʒi
ozonation|o.zo.za.sjɔ̃
oz|ɔ.
pace-maker|peɪs.kœʁ
pacfung|pa.tuŋ
pagodon|pa.dɔ̃
paidologie|pa.lɔ.ʒi
paillardement|pa.jaʁd.mɑ̃
pailletage|pa.taʒ
paillet|pɑj.jɛ
palabreuse|pa.labʁ.bʁøz
palatinat|pa.la.na
palato-glosse|pa.la.ɡlɔs
palefrenière|pal.njɛʁ
palmacée|pal.ma.se
palmatiséquée|pal.ma.ke
palpitement|pal.pi.mɑ̃
pandanus|pɑ̃.da.a.nys
panhypopituitarisme|ta.ʁism
panniculite|pa.lit
panorpe|pa.nɔ.ʁa.kaʁp
pantouflière|pɑ̃.ɛʁ
papaver|pa.pa.pa.ve
papillomatose|pa.pi.ma.toz
papillonnement|pa.pi.jɔ.mɑ̃
papoteuse|pa.pɔ.tøz
paqueteuse|pak.tøz
parabiose|paʁ.bjoz
parachutale|pa.tal
paramédic|pa.dik
parasélène|paʁ.lɛn
paraxiale|paʁ.ak.sjal
parcheminière|paʁk.mi.njɛʁ
parfondre|paʁ.fɔ̃dʁ
parkinsonisme|paʁ.nism
parlementairement|paʁ.lə.mɑ̃.tɛʁ.mɑ̃
parme|paʁ.fɔʁm
parodontose|pa.ʁɔ.dɔ̃.toz
parotidienne|pa.ti.djɛn
paroxysmale|pa.ʁɔk.al
parqueteuse|paʁ.kə.tøz
partialement|paʁ.sjal.mɑ̃
partoche|paʁ.tɔʃ
passacaille|pa.kɑj
passavant|pa.a.vɑ̃
passette|pas.sɛt
pataugeage|pat.ʒaʒ
pataugement|pat.mɑ̃
patentage|pa.taʒ
pathomimie|pat.ʃi.mi
pathosystème|pat.sis.tɛm
patres|pa.
patriciale|pat.ʁi.sjal
paulienne|pɔ.ljɛn
pavimenteuse|pa.vi.mɑ̃.tøz
paysannat|pɛ.i.na
peignures|
peinturlurage|pɛ̃.ʁaʒ
peléenne|pɛl.le.ɛn
pemmican|e.kɑ̃
pemphigoïde|e.id
pentacrine|pɛ̃.ta.ta.ka.ʁin
pentakidodécaèdre|pɛ̃.ta.de.ka.ɛdʁ
pentapole|pɛ̃.ta.pɔl
pentastomide|pɛ̃.ta.mid
pentaérythritol|pɛ̃.ta.tɔl
pentitol|pɛ̃.tɔl
pentosane|pɛ̃.zan
penty|pɛ̃.ti
perceptionnisme|pɛʁ.sjɔ.nism
perchloréthylène|pɛʁ.klɔ.e.ti.lɛn
perforelieuse|pɛʁf.ʁə.ljøz
perlinguale|pɛʁ.lɛ̃.ɡwal
permanencière|pɛʁ.ma.sjɛʁ
permutante|pɛʁ.my.my.tɑ̃t
personæ|pɛʁ.sɔ.nɔ.ve
persuasivement|pɛʁ.sɥa.ziv.mɑ̃
persulfurée|pɛʁ.syl.y.ʁe
perthite|pɛʁ.tit
pervibrage|pɛʁ.vi.vi.bʁaʒ
pessière|si.sjɛʁ
petit-boutiste|pə.ti.tist
pfaffienne|fjɛn
pfft|f.fœ.jɛ
pfut|pa.fy
phallotoxine|fa.lɔ.tɔk.sin
phalloïdine|fa.lɔ.din
phelloderme|fe.dɛʁm
phlébothrombose|fle.bɔ.tʁɔ̃.bɔz
phonocaptrice|fɔ.no.tʁis
phonolite|fɔ.nɔ.lit
phosphatidylcholine|fɔs.fa.ti.kɔ.lin
phosphorylase|fɔs.fɔ.laz
phosphorémie|fɔs.fɔ.mi
photochromisme|fɔ.mism
photostéréosynthèse|fɔ.to.sɛ̃.tɛz
photosynthétiquement|fɔ.tɔ.tik.mɑ̃
phraseuse|fʁɑz.zøz
phrygane|fʁi.ɡan
phyllite|fi.lit
physiatrie|fi.me.tʁi
phytophthora|fi.tɔ.tɔ.ʁa
ph|pa.aʃ
phénacétine|fe.tin
phénoménologiquement|fe.nɔ.me.lɔ.ʒik.mɑ̃
phénylbutazone|fe.nil.zon
phéochromocytome|fe.tɔm
phœniciculture|fe.kyl.tyʁ
piaculaire|pja.ky.lɛʁ
piccalilli|pi.ji
picklage|pi.laʒ
picris|pi.ʁi
pied-de-cheval|pje.ʃə.val
pied-fort|pje.fɔʁ
pied-à-terre|pje.tɛʁ
pierrage|pjɛ.ʁaʒ
pimer|pɛ̃.mɛʁ
piochage|pjɔʃ.ʃaʒ
pipetage|pi.taʒ
piroguière|pi.ɡjɛʁ
pirole|pi.ʁɔl
piroplasmose|pi.plas
pissement|pis.mɑ̃
pistillée|pis.til.je
pitaude|pi.ta.tɔd
pittoresquement|pi.tɔ.ʁɛsk.mɑ̃
pizzaiolo|pid.lo
piétin|pje.tɛ̃
piézorésistive|pje.zɔ.ʁe.zis.tiv
planipenne|plɑ̃.pɛn
planiste|pla.nist
plantureusement|plɑ̃.ty.ʁøz.mɑ̃
planétésimale|plɑ̃.mal
plastifieuse|plas.ti.ma.fjøz
platinocyanure|pla.ti.sja.nyʁ
play-list|plɛ.list
plecquer|plɛktʁ.ke
pleurectomie|plœʁ.tɔ.mi
plissage|pli.saʒ
plumasserie|ply.ma.ʁi
pluridimensionnalité|ply.ʁi.di.li.te
