abandonnisme|a.bɑ̃.dɔ̃.nism
enrubanneuse|ɑ̃.ʁy.nøz
ensellement|ɑ̃.mɑ̃
ensouillement|ɑ̃.mɑ̃
entonner|ɑ̃.ne
envieusement|ɑ̃.vjøz.mɑ̃
envoûteuse|ɑ̃.tøz
ergastoplasme|ɛʁ.tɔ.plasm
ergotine|ɛʁ.tin
erratisme|ɛ.ʁa.tism
escarrotique|ɛs.kaʁ.tik
escompteuse|ɛs.kɔ̃t.tøz
espaces-temps|ɛs.pas.tɑ̃
esprofonder|ɛs.de
esquintante|ɛs.tɑ̃t
essencière|ɛs.sjɛʁ
essorante|e.sɔʁ.ɔ.ʁɑ̃t
estampeuse|ɛs.tɑ̃p.pøz
estampilleuse|ɛs.tɑ̃.pij.pi.jøz
estradiène|ɛs.tʁa.djɛn
estroprogestative|ɛs.pʁo.ʒɛs.ta.tif
ethnomédecine|ɛt.nɔ.mɛd.sin
ethnométhodologue|ɛt.nɔ.lɔɡ
ethnosociologie|ɛd.no.lɔ.ʒi
euchromatine|ø.ka.tin
euménide|ø.nid
eupnéique|ø.ne.ik
europhobe|ø.ʁɔ.fɔb
européocentriste|ø.ʁɔ.pe.sɑ̃.tʁist
euryapside|ø.ʁɔ.ap.sid
eurythermie|ø.ʁɔ.tɛʁ.mi
excipée|ɛk.si.pe
exfoliante|ɛks.ljɑ̃t
exinscrite|ɛɡ.ʁit
exocuticule|ɛɡ.zɔ.kyl
exogroupe|ɛɡ.zɔ.ɡʁup
exogénéité|ɛɡ.zɔ.li.te
exopolysaccharide|ɛɡ.sa.ka.ʁid
exorcistat|ɛɡ.zɔʁ.ta
exothermicité|ɛɡ.zɔ.li.te
exothermie|ɛɡ.zɔ.tɛʁ.mi
expertes-comptables|ɛk.spɛʁt.tabl
experts-comptables|ɛk.spɛʁ.tabl
expressiste|ɛk.spʁɛs.ɡʁɛ.sist
expropriante|ɛks.pʁi.pʁi.jɑ̃t
extatisme|ɛk.sta.tism
extracorporelle|ɛks.tʁa.kɔʁ.pɔ.ʁel
extractabilité|ɛks.tʁak.bi.li.te
extrapolable|eks.tʁa.abl
extrovertie|ɛk.stʁa.ti
fagacée|fa.se
faisandière|fə.zɑ̃.djɛʁ
faisanneau|fə.zɑ̃.a.no
falsificationnisme|fal.si.fi.ka.sjɔ̃.sjɔ.nism
famennoise|fa.nwaz
farnésol|faʁ.zɔl
fastigiée|fas.ʒje
faubérer|fo.ʁe
fauchet|foʃ.ʃɛ
favique|fa.vik
façonneuse|fa.sɔ.nøz
feld-maréchal|fɛl.ʃal
feldspathoïde|fɛl.dspat.id
fenwick|fə.
fermenteur|fɛʁm.tœʁ
ferricyanure|fɛ.sja.nyʁ
ferriprive|fɛ.ʁiv
ferro-magnésienne|fɛ.ʁɔ.sjɛn
ferromagnésienne|fɛ.ʁɔ.sjɛn
ferrotypie|fɛ.ʁɔ.ti.pi
fettucine|fɛ.sin
feuillardière|fœ.jaʁ.djɛʁ
fibrinolyse|fi.liz
fibrinolytique|fi.li.tik
fibrinémie|fi.mi
fibrocyte|fi.bʁɔ.sit
figuriniste|fi.ɡy.nist
filicinée|fi.ne
filicophyte|fi.fit
filonienne|fi.lɔ̃.njɛn
fin'amor|fɛ̃.ɔʁ
financiarisme|fi.nɑ̃.ta.ʁism
finitiste|fi.tist
finslérienne|fɛ̃.ʁjɛn
fish-eye|fi.
flingot|flɛ̃.ɡɔ
flognarde|flɔ.ɲaʁd
floridée|flɔ.ʁi.de
fluocompacte|fly.ɔ.kɔ̃.pakt
fluofibre|fly.ɔ.fibʁ
flupyrsulfuron|ʁɔ̃
fluxomique|flyk.mik
focométrie|fɔ.me.tʁi
focométrique|fɔ.me.tʁik
fonctorielle|fɔ̃k.sjɔ.ɛl
fontanili|fɔ̃.li
fordienne|fɔʁ.djɛn
formicante|fɔʁ.mi.ka.ɑ̃t
fouder|fu.de
fourgat|fuʁ.ɡa
fractographie|fʁak.ɡʁa.fi
frappologie|fʁa.lɔ.ʒi
free-shop|fʁi.ʃɔp
frigoporteur|fʁi.ɡo.tœʁ
frisko|fʁi.ko
frousser|fʁu.se
fr|te
fréquentiste|fʁe.kɑ̃.tist
ftp|fœ.jɛ.pe
fuguée|fy.ɡe
fulvique|fyl.vik
fumariacée|fy.se
funiculite|fy.ni.lit
fusionnante|fy.zjɔ.nɑ̃t
fusuline|fy.lin
futurible|fy.ty.ʁibl
fénéthylline|lin
févier|fe.vje
gabbroïque|ɡa.bʁo.ik
gadzart|ɡa.aʁ
galactane|ɡa.tan
galactosamine|ɡa.lak.a.min
galactosidase|ɡa.lak.daz
galactosémie|ɡa.mi
galbante|ɡal.ɑ̃t
galvanoscope|ɡal.va.kɔp
galéopithèque|ɡa.le.tɛk
gammaglobuline|ɡa.ɡlɔ.by.lin
gammiste|ɡam.mist
gamétange|ɡa.ɑ̃ʒ
garalde|ɡa.
garba|ɡaʁ.ba
gargantua|ɡaʁ.y.a
gaspilleuse|ɡas.pi.pi.jøz
gattilier|ɡat.lje
gaufroir|ɡo.fʁwaʁ
gaulthérie|ɡo.ʁi
gayolle|ɡɛ.ʁɔl
gazonnement|ɡa.zɔ.mɑ̃
gaïacol|ɡa.jak.kɔl
gendarmesque|ʒɑ̃.daʁm.mɛsk
gentamicine|ʒɑ̃.sin
gentianacée|ʒɑ̃.se
gentianée|ʒɑ̃.ne
gentilhommerie|ʒɑ̃.ti.ʁi
genépi|ʒə.pi
gestaltiste|ɡeʃtalt.al.tist
gestuaire|ʒɛs.ɛʁ
gewurztraminer|ne
giardia|ʒja.dja
gibbsite|ʒi.sit
gibbule|ʒi.byl
gigantale|ʒi.ɡɑ̃.tal
gingivectomie|ʒɛ̃.ʒi.tɔ.mi
gingivorragie|ʒɛ̃.ʒi.lɔ.ʒi
girouettisme|ʒi.tism
glaisière|ɡlɛ.zjɛʁ
glanage|ɡlɑ̃.naʒ
glockenspiel|ɡlɔ.sjɛl
glossette|ɡlɔ.sɛt
glosso-pharyngienne|ɡlɔ.ʒjɛ̃n
glossématique|ɡlɔ.ma.tik
glucanase|ɡly.naz
glucosinolate|ɡly.lat
glycanase|ɡli.kɔ.naz
glycogénolyse|ɡli.kɔ.liz
glycogénose|ɡli.kɔ.ʒe
glycosylée|ɡli.kɔ.le
glyptodonte|ɡlip.to.dɔ̃.dɔ̃t
gneissique|si.sik
gnoll|
gnotobiotique|tik
gnétophyte|fit
gobeuse|ɡɔ.bøz
gogole|ɡɔɡ.ɡɔl
gondolante|ɡɔ̃.ɑ̃t
gonococcie|ɡɔ.si
gonococcique|ɡɔ.kɔk.sik
gonopode|ɡɔ̃.pɔd
gonoréaction|ɡɔ.za.sjɔ̃
gopi|ɡɔ.pi
gouelle|ɡwɛ.ɛl
goulache|ɡu.aʃ
gourmade|ɡuʁ.mad
grabatisation|ɡʁa.ba.li.za.sjɔ̃
grafcet|ɡʁa.sɛ
graissante|ɡʁɛ.sɑ̃t
gramicidine|ɡʁa.din
graminacée|ɡʁa.se
gramscisme|ɡʁa.fa.ʃism
granoclassement|ɡʁɑ̃.mɑ̃
grapheuse|ɡʁaf.ʃøz
grassmannienne|ɡʁa.njɛn
gravatière|ɡʁa.tjɛʁ
grenadage|ɡʁə.na.a.daʒ
grenouillante|ɡʁə.nu.ɑ̃t
grenouillesque|ɡʁə.nuj.lɛsk
griffade|ɡʁi.fad
gringolée|ɡʁɛ̃.le
griséofulvine|ɡʁi.vin
grièche|ɡʁi.
gros-boutiste|ɡʁo.tist
groupoïde|ɡʁu.id
grugeuse|ɡʁy.ʒøz
grumier|ɡʁym.mje
gr|te
gréeuse|ɡʁe.øz
gréver|ɡʁe.vɛʁ
guaïfénésine|ɡwa.zin
guernouille|nuj
guerroyeuse|ɡɛ.jøz
guignarde|ɡi.ɲaʁd
guilleri|ɡij.ʁi
guillocheuse|ɡi.jɔ.ʃøz
guttiféracée|ɡy.se
gymnarque|ʒim.naʁk
gynerium|ʒi.ne.ʁjɔm
gynogenèse|ʒi.ne.ʒə.nɛz
gynogénétique|ʒi.ʒe.ne.tik
gyrencéphale|ʒi.ʁɔ.se.fal
gyrobicoupole|ʒi.ʁɔ.ku.pɔl
gyropilote|ʒi.ʁɔ.pi.lɔt
génosociogramme|ʒe.ɡʁam
génothérapie|ʒe.te.ʁa.pi
généthliaque|ʒe.ne.ljak
génétisme|ʒe.ne.tism
génétiste|ʒe.ne.tist
géostrophique|ʒe.ɔ.ɡʁa.fik
géosynclinal|ʒe.ɔ.nal
géraniée|ʒe.ʁa.nje
gérontoxon|ʒe.ʁɔ̃.tɔ.sɔ̃
gîtage|ʒi.taʒ
habeas|ha.ɑs
hachischine|a.ʃiʃ.ʃin
hachischée|a.ʃe
halioculture|a.kyl.tyʁ
halkiner|a.ne
hallucinose|a.noz
halotechnie|a.lo.ni
hand-ball|ɑ̃.di.bol
handeler|ɑ̃.di.le
haplo-diploïdisation|a.plɔ.li.za.sjɔ̃
happement|ap.mɑ̃
haschichine|a.ʃiʃ.ʃin
haschichisme|a.ʃiʃ.ʃism
haschichée|a.ʃe
haschischine|a.ʃiʃ.ʃin
haschischisme|a.ʃiʃ.ʃism
haschischée|a.ʃiʃ.ʃe
hasmonéenne|ne.ɛn
haïsseuse|a.søz
hebdomadière|ɛb.dɔ.djɛʁ
hectopièze|ɛk.piɛz
heimatlosat|za
hemigrammus|mys
hensélienne|ljɛn
heptoxyde|ɛp.ɔk.sid
hermesse|ɛʁ.mɛs
herpétiforme|ɛʁ.pe.fɔʁm
herpétique|ɛʁ.pe.tik
hertzienne|ɛʁ.zjɛn
hervienne|ɛʁ.vjɛn
hexachlorophène|ɛɡ.za.klo.ʁo.fi.lɔ.fen
hexacorde|ɛɡ.za.kɔʁd
hexafluorure|ɛɡ.za.fly.ɔ.ʁyʁ
hexanoïque|ɛɡ.zan.ik
hexatonique|ɛɡ.za.nik
hexitol|ɛʁ.tɔl
hibernante|i.bɛʁ.nɑ̃t
hilotisme|i.tism
hipparion|i.a.ʁjɔ̃
hippocastanacée|i.pɔ.se
hippophaé|i.pɔ.
hobbesienne|bi.sjɛn
hodographe|od.ʒa.ɡʁaf
hojjat-al-islam|is.lam
hoki|ɔ.ki
holocristalline|ɔ.lɔ.kʁis.ta.lin
holomorphe|ɔ.lɔ.mɔʁf
holomorphie|ɔ.lɔ.ɡʁa.fi
holomorphiquement|ɔ.mɑ̃
holonome|ɔ.lɔ.nɔm
holonomie|ɔ.lɔ.nɔ.mi
holostéen|ɔ.lɔ.ɑ̃
homoganique|ɔ.mɔ.nik
homogénéisante|ɔ.mɔ.zɑ̃t
homogénéisateur|ɔ.mɔ.tœʁ
homogénéisatrice|ɔ.mɔ.tʁis
homéothermie|o.me.tɛʁ.mi
hongreuse|ɔ̃ɡʁ.ɡʁøz
hongroyeuse|ɔ̃.ɡʁwa.jøz
horocycle|ɔ.sikl
horocyclique|ɔ.si.klik
horosphère|ɔ.sfɛʁ
hot-line|ɔ.withoutA-Z
houillification|uj.za.sjɔ̃
houspilleuse|us.pi.jøz
hpz|i
humagne|y.ma.maɲ
humidistance|y.mi.di.dis.tɑ̃s
hummock|y.
husserlienne|y.ljɛn
hyaloclastite|ja.tit
hyaluronidase|ja.daz
hydralcoolique|i.dʁɔ.al.kɔ.lik
hydranthe|i.dʁɔ.ljɑ̃t
hydrazone|i.dʁɔ.zon
hydrocharidée|i.dʁɔ.de
hydrogénosulfate|i.dʁɔ.ʒe.syl.fat
hydrogénosulfite|i.dʁɔ.ʒe.syl.fit
hydrogénosulfure|i.dʁɔ.ʒe.syl.fyʁ
hydropathe|i.dʁɔ.pat
hydropulseur|i.dʁɔ.pʁɔ.pyl.sœʁ
hydroxylase|i.dʁɔ.si.laz
hydroxylation|i.dʁɔ.za.sjɔ̃
hydrozoaire|i.dʁɔ.ɛʁ
hydrurée|i.dʁɔ.y.ʁe
hygrostat|i.ɡʁɔ.ta
hylobatidé|i.de
hyperaldostéronisme|i.pɛ.nism
hypercholestérolémique|i.pɛʁ.mik
hypercorticisme|i.pɛʁ.sism
hypergame|i.pɛʁ.ɡam
hypergonar|i.pɛʁ.naʁ
hypernovæ|i.pɛʁ.
hyperostose|i.pɛʁ.toz
hyperoxie|i.pɛʁ.si
hyperphalangie|i.pɛʁ.
hyperprolactinémie|i.pɛʁ.mi
hypersialie|i.pɛʁ.li
hyperémèse|i.pɛʁ.mɛz
hypnothérapeutique|ip.nɔ.te.ʁa.pø.tik
hypoalgésie|i.po.zi
hypodermose|i.pɔ.moz
hypogame|i.pɔ.ɡam
hypogonadisme|i.pɔ.dism
hypopituitarisme|i.pɔ.ta.ʁism
hypoprotéinémie|i.pɔ.mi
hélicase|e.li.kɑz
héliozoaire|e.ljo.ɛʁ
héloderme|e.dɛʁm
hémangiome|e.ma.ɑ̃.ʒjɔm
hémarthrose|e.ma.aʁ.tʁoz
hématique|e.ma.tik
hématoporphyrine|e.ma.pɔʁ.fi.ʁin
hémiperméable|e.mi.pɛʁ.me.abl
hémosidérine|e.mɔ.e.ʁin
hémérobe|e.me.ʁɔb
héparane|e.pa.ʁan
hépiale|e.pa.pjal
hétérocentrique|e.te.ʁo.tʁik
hétéroprothallie|e.te.ʁo.li
ice-field|i.
ice-shelf|i.ɡɔlf
ichtyosaure|ik.sɔʁ
icositétraèdre|i.te.tʁa.ɛdʁ
idempotence|id.pɔ.tɑ̃s
idempotente|id.tɑ̃t
identifieur|i.tœʁ
identitarisme|i.dɑ̃.ti.ta.ʁism
idiotype|i.djɔ.tip
iduronique|nik
idéotype|i.de.ɔ.tip
ijtihad|ad
ilicacée|i.se
illégitimement|i.le.ʒi.tim.mɑ̃
ilotisme|i.tism
imagoïque|i.ma.ɡo.ik
immatériellement|i.ma.te.mɑ̃
immodestement|i.mɔ.mɑ̃
immortellement|i.mɔʁ.tɛl.mɑ̃
immunogénicité|i.my.nɔ.si.te
immunosupprimée|i.my.nɔ.me
imparidigitée|ɛ̃.pa.te
imperfectible|ɛ̃.pɛʁ.fɛk.tibl
imperforée|ɛ̃.pɛʁ.ɔ.ʁe
imperçable|ɛ̃.pɛʁ.abl
imports-exports|ɛ̃.pɔʁ.spɔʁ
impurement|ɛ̃.pyʁ.mɑ̃
impénitence|ɛ̃.pe.tɑ̃s
inappliquée|i.na.pli.ke
inapprivoisée|i.na.ze
inappropriable|i.na.abl
inappréciée|i.na.sje
inarrachable|i.na.abl
inassujettie|i.na.ti
inattaquée|i.na.ke
inavouablement|i.na.vwabl.mɑ̃
incestueusement|ɛ̃.sɛs.tɥøz.mɑ̃
inciseur|ɛ̃.siz.zœʁ
incivilement|ɛ̃.si.vil.mɑ̃
incoterm|ɛ̃.kɔ̃.
incrustante|ɛ̃.kʁys.tɑ̃t
incrusteuse|ɛ̃.kʁys.tøz
indianisme|ɛ̃.dja.nism
individualisable|ɛ̃.di.vi.dy.li.zabl
individualisante|ɛ̃.di.vi.dy.li.zɑ̃t
individualisation|ɛ̃.di.vi.dy.li.za.sjɔ̃
indivisément|ɛ̃.di.vi.mɑ̃
indébrouillable|ɛ̃.de.abl
indéchiffrée|ɛ̃.de.fʁe
indécodable|ɛ̃.de.abl
indécrochable|ɛ̃.de.abl
indéfinissablement|ɛ̃.de.fi.blə.mɑ̃
indélicatement|ɛ̃.de.li.kat.mɑ̃
inengendrée|i.nɑ̃.dʁe
ineptement|i.nɛpt.mɑ̃
inexpiablement|i.nɛk.spjabl.mɑ̃
inexécutée|i.neɡ.te
infigurabilité|ɛ̃.fi.bi.li.te
infradienne|ɛ̃.fʁa.djɛ̃
infructueusement|ɛ̃.fʁa.mɑ̃
iniquement|i.nik.mɑ̃
injaculation|ɛ̃.za.sjɔ̃
inquestionnée|ɛ̃.ne
insituable|ɛ̃.si.ty.abl
insulinase|ɛ̃.sy.li.naz
insulinome|ɛ̃.sy.li.nɔm
insurgente|ɛ̃.syʁ.yʁ.ʒɑ̃t
intellectisme|ɛ̃.te.lɛkt.tism
intellectualité|ɛ̃.te.lɛk.li.te
intemporellement|ɛ̃.tɑ̃.pɔ.ʁɛl.mɑ̃
interféron|ɛ̃.tɛʁ.fe.ʁɔ̃
interleukine|ɛ̃.tɛʁ.kin
interministérialité|ɛ̃.tɛʁ.mi.bi.li.te
internégatif|ɛ̃.tɛʁ.tif
intertrigo|ɛ̃.tɛʁ.ɡo
intraépithéliale|ɛ̃.tʁa.te
introublée|ɛ̃.tʁo.ble
intuitu|in.ty
intégrodifférentielle|ɛ̃.te.di.fe.ʁɑ̃.sjɛl
invalidement|ɛ̃.va.lid.mɑ̃
inventoriage|ɛ̃.vɑ̃.ʁjaʒ
inversable|ɛ̃.vɛʁ.sabl
inversible|ɛ̃.vɛʁ.sibl
ipso|ip.pso
ipéca|i.pe.ka
iridocyclite|i.ʁi.klit
irish-terrier|i.ʁis.tɛ.ʁje
irrachetable|i.ʁa.aʃ.tabl
irrassasiée|i.ʁa.zje
irrotationnelle|sjɔ.nɛl
irréflexion|i.ʁe.flek.sjɔ̃
irréfutée|i.ʁe.fy.fy.te
irréligieusement|i.ʁe.li.ʒjøz.mɑ̃
irrésignée|i.ʁe.zis.ne
irrévélée|i.ʁe.ve.le
irrévérente|i.ʁe.ve.ʁɑ̃t
isenthalpe|i.zɑ̃.alp
isocortex|i.zɔ.tɛks
isogame|i.zo.ɡam
isolectotype|i.zɔ.tip
isomonodromique|i.zɔ.mik
isomorphiquement|i.zɔ.mɑ̃
isoniazide|i.zɔ.id
isopropanol|i.zo.ta.nɔl
isoprénaline|i.zo.na.lin
isoprénique|i.zo.nik
isospectralité|i.zo.bi.li.te
isosporie|i.zo.ʁi
isosyntype|i.zo.tip
isozyme|i.zɔ.zim
italianiste|i.ta.lja.nist
ivressomètre|i.mɛtʁ
jacée|ʒa.se
jalap|ʒa.klap
jalonnement|ʒa.lɔ.mɑ̃
japonologie|ʒa.pɔ̃.lɔ.ʒi
japonologue|ʒa.pɔ̃.lɔɡ
jargonneuse|ʒaʁ.ɡɔ.nøz
jarovisation|ʒa.li.za.sjɔ̃
jasmonate|ʒas.nat
jasmonique|ʒas.nik
jaunir|ʒɔ.y.niʁ
javer|ʒa.vɛʁ
jennérienne|ʒɛ.ne.ʁjɛn
jihadisme|ʒi.ad.dism
jocoler|ʒɔ.le
jointeuse|ʒwɛ̃.tøz
joncher|ʒɔ̃.ʃe
joncteur|ʒɔ̃k.sjɔ̃.tœʁ
jottereau|xɔ.o
jugeuse|ʒyʒ.ʒøz
jurement|ʒy.mɑ̃
juridicisation|ʒy.ʁi.dik.li.za.sjɔ̃
jutage|ʒy.taʒ
kafkaïenne|kɑ.jɛn
kala-azar|ka.zaʁ
kaotiser|ka.li.ze
kbit|bit
kelvinomètre|kɛl.vin.mɛtʁ
kentrophylle|kɛn.ʁɔ.fil
kenyapithèque|tɛk
khalifale|ka.fal
khédiviale|ke.vjal
kibboutznik|ki.bi.nik
kimbanguisme|kim.lɛ̃.ɡwism
kissel|ki.sɛl
kleinienne|klɛp.njɛn
kn|sjɔ̃
kpc|pus
kravmaga|kʁav.ɡa
kriegspiel|kʁik.sjɛl
krishnaïsme|kʁa.ism
krump|lɔ̃p
kth|kon.traw
kyriologique|ki.lɔ.ʒik
kénose|ke.noz
kératane|ke.ʁa.tan
kératocône|ke.ʁa.kon
kétoconazole|ke.a.zɔl
labdanum|la.da.nɔm
labium|la.bjɔm
laboriste|la.bo.ʁist
lacanisme|la.nism
lacquemant|lak.mɑ̃
lactocoque|lak.kɔk
lacérante|la.ɑ̃t
lamaneuse|la.ma.nøz
lamarckisme|la.maʁ.kism
lambliase|lɑ̃.
lambourde|lɑ̃.buʁd
lamellophone|lam.fɔn
landammann|lɑ̃.man
landaulet|lɑ̃.do.lɛ
landgravine|lɑ̃d.ʁa.vin
landsturm|lɑ̃d.
laneret|lɑ̃.ʁɛ
langueyage|lɑ̃.jaʒ
lançable|lɑ̃.abl
laparoscopique|la.pa.pik
lasting|la.tiŋ
lasurer|la.zyʁ.ʁe
laticifère|la.ti.fɛʁ
layetière|lɛ.tjɛʁ
lazzarone|ladzi.ʁɔn
laïusseuse|la.i.søz
lb|li.
lectotype|lɛk.tip
lemnacée|lɛm.se
lentigine|lɑ̃.ti.ʒin
lepte|lɛp.
lesquerellique|lik
lessivable|le.abl
lessivière|le.vjɛʁ
letchi|lɛ.tʃi
leucocyturie|lø.kɔ.ʁi
leucoencéphalite|lø.ɑ̃.se.fa.lit
leucogranite|lø.ɡʁa.nit
leucotrichie|lø.ʃi
leucoxène|lø.sɛn
lewisite|sit
lignane|li.nan
lignarde|li.ɲaʁd
linalol|li.salɔl
linçoir|lɛ̃.swaʁ
linéarisabilité|li.ne.a.bi.li.te
litharge|li.ʃaʁʒ
lithiasique|li.zik
lithine|li.ti.tin
lithothamnium|li.to.njɔm
lm|li.
loirétaine|lwaʁ.tɛn
lombarthrose|lɔ̃.aʁ.tʁoz
lombostat|lɔ̃.ta
longimétrie|lɔ̃.ʒi.me.tʁi
longuéenne|lɔ̃.ɛn
longévive|lɔ̃.viv
lonotriche|lɔ̃.tʁiʃ
loranthacée|lɔ.se
ludopoésie|ly.zi
ludospace|ly.pas
ludwigia|ly.dʒja
lumachelle|ly.mi.ɛl
lumachellique|lik
luministe|ly.mi.nist
luminomètre|ly.mi.mɛtʁ
lupercale|ly.kal
lutéinisation|ly.te.li.za.sjɔ̃
luxembourgiste|lyks.lɔ.ʒist
luxembourgophone|lyks.fɔn
luxuriance|lyk.sy.va.ʁjɑ̃s
lx|li.
lychnide|li.nid
lysergide|li.ʒid
lysosomiale|li.zɔ.mjal
léchable|le.abl
lécithine|le.tin
léonardesque|le.ɔ.dɛsk
lépidosirène|le.pi.si.ʁɛn
lévamisole|le.sɔl
mR|ma.
macassar|mak.saʁ
maceron|mak.ʁɔ̃
machiavel|ma.kja.vɛl
macroglossie|ma.zi
macroscopique|ma.kʁo.pik
macroscélide|ma.lid
madrinienne|ma.dʁi.kʁi.njɛn
madréporaire|ma.ʁɛʁ
magadhi|ma.ɡa.di
maghzen|ma.zɛn
magnésioferrite|ma.ɲe.fɛ.ʁit
magouilleuse|ma.ɡuj.jøz
maharashtri|ma.a.ʁa.tʁi
mailing-list|maj.list
maillure|ma.jyʁ
mainmortable|mɛ̃.tɑbl
malebranchiste|ma.plɑ̃.ʃist
malletière|ma.tjɛʁ
malmenage|mal.naʒ
maltôte|malt.kot
malvenante|mal.nɑ̃t
mamelonnaire|mamə.lɔ̃.nɛʁ
mandibulate|mɑ̃.lat
manilleuse|ma.nij.jøz
manodétendeur|ma.de.tɑ̃.dœʁ
manuaire|mɑ̃.ɛʁ
manuscriptologie|ma.nys.lɔ.ʒi
maquereautage|ma.kʁo.taʒ
maratoner|ma.ne
margaille|maʁ.ɡaj
marmotteuse|maʁ.mɔt.tøz
maroquinière|ma.ʁɔ.kɛ̃.njɛʁ
marteleuse|maʁ.løz
matabicher|ma.ʃe
matelotage|mat.taʒ
maternologie|mat.lɔ.ʒi
matoufet|ma.tu.fɛ
matouner|ma.tu.ne
maugréante|mo.ɑ̃t
maurandie|mo.di
mauvéine|mo.te.in
maximisatrice|mak.si.tʁis
maïzena|ma.na
medecine-ball|me.bol
mefenoxam|
menthone|mɑ̃.fɔn
menuaille|mɑ̃.nɛl
merceriseuse|mɛʁ.sə.ʁi.zøz
metolachlore|mɛ.klɔʁ
meulage|mø.laʒ
mgr|ma.te
microarray|mi.kʁo.
microdifférentiel|mi.kʁo.sjɛl
microfibrée|mi.kʁo.bʁe
micromanipulateur|mi.kʁo.tœʁ
microsomale|mi.kʁo.mal
microsomiale|mi.kʁo.mjal
microtracteur|mi.kʁo.tœʁ
microzoaire|mi.kʁo.ɛʁ
milliröntgen|mi.ʁœ̃nt.ɡɛn
millépore|mi.le.pɔʁ
minispace|mi.pas
minnesang|mi.sɑ̃
minéralocorticoïde|mi.ne.ʁa.kɔʁ.ti.ko.id
miquelet|mi.lɛ
miracidium|mi.djɔm
misologie|mi.zo.lɔ.ʒi
missilière|mi.ljɛʁ
mmHg|ma.
mobinaute|mɔb.not
modalisme|mɔ.da.li.a.lism
modelable|mɔd.abl
modelante|mɔd.ɑ̃t
modulor|mɔ.dy.lo.lɔʁ
moksha|mɔ.ʃa
molinisme|mɔ.li.nism
molysmologie|mɔl.lɔ.ʒi
mondiovision|mɔ̃.dja.vi.zjɔ̃
monodromie|mɔ.no.tɔ.mi
monodromique|mɔ.no.mik
monométhylmercure|mɔ.no.me.mɛʁ.kyʁ
mononucléidique|mɔ.ny.dik
monophasique|mɔ.no.fa.zik
monophyodonte|mɔ.fi.dɔ̃t
monostiche|mo.no.tiʃ
monoxène|mɔ.no.sɛn
monsignor|mɔ̃s.nɔʁ
moracée|mɔ.se
morcelable|mɔʁ.abl
moringa|mɔ.ɡa
morphophonologie|mɔʁ.fɔ.lɔ.ʒi
morphophonologique|mɔʁ.fɔ.lɔ.ʒik
morphématique|mɔʁ.ma.tik
mortinaissance|mɔʁ.ti.ne.sɑ̃s
motorship|mɔ.tɔ.ʃip
mototracteur|mɔ.tœʁ
mouchetage|muʃ.taʒ
mouilleur|muj.lœʁ
moulineuse|mu.li.nøz
mouna|mu.na
moussage|mu.saʒ
moviola|mɔ.la
moyennable|mwa.nabl
mth|ma
mucolytique|my.li.tik
mucopolysaccharide|sa.ka.ʁid
mucoviscidosique|my.zik
mucoïde|my.id
mullite|myl.ti.lit
muriate|my.ʁjat
museuse|myz.søz
mutationnisme|my.ta.sjɔ̃.sjɔ.nism
mutationniste|my.ta.sjɔ̃.sjɔ.nist
myasthénique|mi.ste.nik
myoclonie|mjɔ.ni
myocyte|mjɔ.sit
myodésopsie|mjɔ.zi
myofasciite|mjɔ.it
myofibrille|mjɔ.fi.bʁil
myogramme|mjɔ.ɡʁam
myologique|mjɔ.lɔ.ʒik
myomatose|mjɔ.ma.toz
myotatique|mjo.tik
myringoplastie|mi.plas.ti
myrmidone|miʁ.me.kɔ.dɔn
myrtacée|miʁ.se
myrtaie|miʁ.tɛ
mytilotoxine|mi.ti.li.tɔk.sin
myélodysplasique|mje.lɔ.dis.pla.pla.zik
myéloproliférative|mje.lɔ.pʁɔ.li.fe.ʁa.tif
myélotoxique|mje.lɔ.tɔk.sik
méandrine|me.dʁin
méatoscopie|me.a.pi
médaillable|me.da.abl
médailleuse|me.daj.jøz
médaillier|me.da.lje
médiopalatale|me.di.pa.la.tal
médusante|me.dy.y.zɑ̃t
mégacaryocyte|me.ɡa.sit
mégacéphalie|me.ɡa.a.se.fa.li
mégaloblastique|me.ɡa.lo.tik
mégalocéphalie|me.ɡa.lo.se.fa.li
mégaloptère|me.ɡa.lo.tɛʁ
mégalérythème|me.ɡa.e.ʁi.tɛm
mégaptère|me.ɡa.aptɛʁ
mégatonnique|me.ɡa.nik
méjanage|me.naʒ
mélampyre|me.la.piʁ
mélangeur-doseur|me.lɑ̃ʒ.zœʁ
mélanodermie|me.la.tɛʁ.mi
méliacée|me.lja.se
méligèthe|me.lit
mélioïdose|me.doz
mélongine|me.lo.ʒin
ménagiste|me.lɔ.ʒist
ménapienne|me.pjɛn
méphitisme|me.tism
mérelle|me.ɛl
mésadaptée|me.te
mésemploi|me.ɑ̃.plwa
mésentérique|me.zɑ̃.ɑ̃.te.ʁik
mésothéliale|me.zo.te
métabotypage|me.ta.ti.paʒ
métaldéhyde|me.tal.al.de.id
métallo|me.ta.lo
métaxiale|me.ta.ak.sjal
méthanoïque|me.ta.ik
méthaqualone|me.ta.lɔn
méthylcyclopropane|me.ti.pʁɔ.pan
méthylmercure|me.ti.mɛʁ.kyʁ
méthémoglobinémie|me.mi
métronidazole|me.tʁɔ.a.zɔl
mézail|me.aj
nahua|na.wa
nandrolone|nɑ̃.lɔn
nanite|na.nit
